State,Year,Month,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita
New Hampshire,2019,7,0.02762491304347826,0.03965217391304348,9.434782608695652,36.69565217391305,0.16793478260869565,0.1956521739130435,1.0,1.9565217391304348,0.5323906956521739,0.7391304347826086,11.173913043478262,0.34782608695652173,1.5504847391304348,4.113043478260869,10.434782608695652,3.5652173913043477,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,8,0.027644387096774192,0.03687096774193548,9.580645161290322,34.225806451612904,0.15722651612903227,0.1935483870967742,3.903225806451613,1.935483870967742,0.14608406451612904,0.49032258064516127,9.580645161290322,0.1935483870967742,1.6868424516129032,3.606451612903226,12.548387096774194,3.129032258064516,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,9,0.02492586956521739,0.03326086956521739,10.347826086956522,31.0,0.16047521739130435,0.2,2.260869565217391,2.0,0.9131291304347826,1.2086956521739132,8.565217391304348,0.8260869565217391,1.8991098695652173,3.808695652173913,11.08695652173913,3.391304347826087,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,10,0.0235514,0.030199999999999998,10.8,28.0,0.1379167,0.175,4.3,1.75,0.8603868,1.115,10.95,0.7,2.0882517500000004,4.61,11.25,4.15,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,11,0.026056615384615386,0.031615384615384615,10.884615384615385,29.307692307692307,0.15256403846153843,0.19615384615384618,4.038461538461538,1.9615384615384615,0.5992984615384616,0.9423076923076923,11.153846153846153,0.46153846153846156,4.227529230769231,8.796153846153846,14.0,7.961538461538462,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,12,0.029461387096774188,0.033774193548387094,12.741935483870968,31.225806451612904,0.1623655806451613,0.2161290322580645,5.0,2.225806451612903,0.8522110967741936,1.2000000000000002,11.193548387096774,0.8387096774193549,4.565059580645162,10.12258064516129,12.903225806451612,9.064516129032258,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Jersey,2019,1,0.01874206451612903,0.02532258064516129,13.241935483870968,23.516129032258064,0.3347535806451613,0.47258064516129034,6.887096774193548,5.403225806451613,0.28090937096774193,0.7564516129032258,8.919354838709678,0.45161290322580644,18.397820645161293,33.81612903225806,11.17741935483871,31.596774193548388,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Jersey,2019,2,0.025113571428571426,0.031357142857142854,12.821428571428571,29.035714285714285,0.3213606607142857,0.4178571428571428,6.482142857142857,4.732142857142857,0.3446293392857143,0.9892857142857142,10.196428571428571,0.75,18.504541482142855,31.494642857142857,12.785714285714286,29.428571428571427,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Jersey,2019,3,0.033382290322580645,0.04082258064516129,10.983870967741936,37.903225806451616,0.3081408225806452,0.4112903225806452,5.451612903225806,4.67741935483871,0.36029212903225805,0.9467741935483871,9.790322580645162,0.6612903225806451,17.002081451612902,33.46774193548387,11.064516129032258,31.161290322580644,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Jersey,2019,4,0.03282715,0.0403,11.45,37.31666666666667,0.24693435,0.3266666666666667,5.533333333333333,3.566666666666667,0.27007131666666667,1.0316666666666667,9.783333333333333,0.7666666666666667,12.837074683333332,29.36,11.033333333333333,27.316666666666666,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
